strain	accession	segment	date	host	country	subtype	virus
00N3340RFX	KU198468	NA	2000-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
01007CI	KX148235	NA	2001-XX-XX	Dog	Cote_dIvoire	NA	Rabies_lyssavirus
01016VNM	KX148254	NA	2001-XX-XX	Dog	Viet_Nam	NA	Rabies_lyssavirus
019N	MF197745	NA	1998-08-XX	Bat	Poland	NA	Rabies_lyssavirus
01N10254RFX	KU198469	NA	2001-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
02003LAO	KX148258	NA	2002-XX-XX	Dog	Laos	NA	Rabies_lyssavirus
02004LAO	KX148256	NA	2002-XX-XX	Dog	Laos	NA	Rabies_lyssavirus
02005LAO	KX148257	NA	2002-XX-XX	Dog	Laos	NA	Rabies_lyssavirus
02006CBG	KX148249	NA	1998-XX-XX	Dog	Cambodia	NA	Rabies_lyssavirus
02046CHI	KX148264	NA	1994-XX-XX	Dog	China	NA	Rabies_lyssavirus
02050CHI	KX148267	NA	1992-XX-XX	Human	China	NA	Rabies_lyssavirus
02052AFG	KX148225	NA	2002-XX-XX	Dog	Afghanistan	NA	Rabies_lyssavirus
02N2980RFX	KU198470	NA	2002-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
03003INDO	KX148266	NA	2003-XX-XX	Dog	Indonesia	NA	Rabies_lyssavirus
04029AFG	KX148227	NA	2004-XX-XX	Dog	Afghanistan	NA	Rabies_lyssavirus
04030PHI	KX148260	NA	2004-XX-XX	Dog	Philippines	NA	Rabies_lyssavirus
04031FRA	KX148195	NA	2004-XX-XX	Dog	Morocco	NA	Rabies_lyssavirus
04033MAD	KX148209	NA	2004-XX-XX	Dog	Madagascar	NA	Rabies_lyssavirus
04034ARS	KX148176	NA	2004-XX-XX	Fox	Saudi_Arabia	NA	Rabies_lyssavirus
04035AFG	KX148226	NA	2002-XX-XX	Dog	Afghanistan	NA	Rabies_lyssavirus
067N	MF197744	NA	2014-XX-XX	Bat	Poland	NA	Rabies_lyssavirus
07V1483RFX	KU198471	NA	2007-XX-XX	Fox	USA	NA	Rabies_lyssavirus
08342FRA	KX148193	NA	2008-XX-XX	Dog	Morocco	NA	Rabies_lyssavirus
08F40	KC171643	NA	2008-04-01	Cattle	South_Korea	NA	Rabies_lyssavirus
09029NEP	KX148245	NA	2009-XX-XX	Buffalo	Nepal	NA	Rabies_lyssavirus
09035FRA	KX148100	NA	2009-XX-XX	Bat	French_Guiana	NA	Rabies_lyssavirus
1060	JQ685908	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
1088	AB645847	NA	XXXX-XX-XX	Rodent	USA	NA	Rabies_lyssavirus
11001NEP	KX148108	NA	2011-XX-XX	Cattle	Nepal	NA	Rabies_lyssavirus
12929	LT909532	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
12951	LT909537	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
12989	LT909538	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
12L1020AFX	KU198472	NA	2012-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
12N0215RFX	KU198473	NA	2012-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
12N0280RFX	KU198474	NA	2012-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
13020	LT909550	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13043	LT909540	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13044	LT909533	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13086	LT909541	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13102	LT909527	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
1311200108POL	MF197741	NA	2008-01-XX	Fox	Poland	NA	Rabies_lyssavirus
13122	LT909529	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13123	LT909535	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13125	LT909542	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13135	LT909546	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13138	LT909548	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13162	LT909526	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13177	LT909531	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13182	LT909539	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13212	LT909544	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13232_NT_F	LT598537	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13249	LT909543	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13251	LT909530	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13284	LT909547	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13465	LT909534	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13471	LT909536	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
13473	LT909551	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
1350KRA	JQ944705	NA	2008-XX-XX	Dog	Russia	NA	Rabies_lyssavirus
1352KRA	JQ944706	NA	2008-XX-XX	Dog	Russia	NA	Rabies_lyssavirus
1359120810POL	MF197743	NA	2010-08-XX	Fox	Poland	NA	Rabies_lyssavirus
13L0040AFX	KU198475	NA	2013-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
13L0094AFX	KU198476	NA	2013-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
13N0473AFX	KU198477	NA	2013-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
13NO643AFX	KU198478	NA	2013-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
14015ITA	KX148207	NA	2014-XX-XX	Human	Kenya	NA	Rabies_lyssavirus
14016BOT	KX148218	NA	2009-XX-XX	Wild_Cat	Botswana	NA	Rabies_lyssavirus
14017BOT	KX148219	NA	2009-XX-XX	Badger	Botswana	NA	Rabies_lyssavirus
14018AFS	KX148223	NA	2000-XX-XX	Cat	South_Africa	NA	Rabies_lyssavirus
1410KOM	JQ944707	NA	2008-XX-XX	Deer	Russia	NA	Rabies_lyssavirus
148/lib01041	LN879481	NA	1998-XX-XX	Fox	Germany	NA	Rabies_lyssavirus
14N0601RFX	KU198479	NA	2014-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
15001AFS	KX148220	NA	2013-XX-XX	Mongoose	South_Africa	NA	Rabies_lyssavirus
15002AFS	KX148222	NA	2014-XX-XX	Mongoose	South_Africa	NA	Rabies_lyssavirus
15003AFS	KX148221	NA	2014-XX-XX	Squirrel	South_Africa	NA	Rabies_lyssavirus
15006FRA	KX148197	NA	2015-XX-XX	Dog	Algeria	NA	Rabies_lyssavirus
1564NNO	JQ944708	NA	2008-XX-XX	Fox	Russia	NA	Rabies_lyssavirus
178J09	JX473838	NA	2009-XX-XX	Jackal	Namibia	NA	Rabies_lyssavirus
184VNO	JQ944704	NA	2009-XX-XX	Raccoon	Russia	NA	Rabies_lyssavirus
192J09	JX473839	NA	2009-XX-XX	Jackal	Namibia	NA	Rabies_lyssavirus
20034	KT336433	NA	1991-XX-XX	Dog	Zimbabwe	NA	Rabies_lyssavirus
20282	LT909545	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
2041MxYucgod15	KX708499	NA	2015-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
20520	LT909528	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
2069200108POL	MF197742	NA	2014-08-XX	Fox	Poland	NA	Rabies_lyssavirus
21057	KT336434	NA	1992-XX-XX	Dog	Zimbabwe	NA	Rabies_lyssavirus
21467	KT336435	NA	1993-XX-XX	Dog	Zimbabwe	NA	Rabies_lyssavirus
2187MxYucdog13	KX708501	NA	2013-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
2395	JQ685972	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2396	JQ685937	NA	2009-XX-XX	Raccoon	USA	NA	Rabies_lyssavirus
2398	JQ685892	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2399	JQ685939	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
239K09	JX473840	NA	2009-XX-XX	Antelope	Namibia	NA	Rabies_lyssavirus
2400	JQ685912	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2401	JQ685934	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2402	JQ685896	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2403	JQ685928	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
240K09	JX473841	NA	2009-XX-XX	Antelope	Namibia	NA	Rabies_lyssavirus
2526	JQ685976	NA	2009-XX-XX	Fox	USA	NA	Rabies_lyssavirus
2835MxChisdog14	KX708503	NA	2014-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
3106MxYucdog14	KX708500	NA	2014-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
33512	KT336436	NA	2012-XX-XX	Dog	South_Africa	NA	Rabies_lyssavirus
34312	KT336437	NA	2012-XX-XX	Dog	South_Africa	NA	Rabies_lyssavirus
34873	LT909549	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
35009	LT839616	NA	XXXX-XX-XX	Unknown	NA	NA	Rabies_lyssavirus
3634DR	JQ685936	NA	2009-XX-XX	Cattle	Mexico	NA	Rabies_lyssavirus
3645DR	JQ685953	NA	2009-XX-XX	Human	Mexico	NA	Rabies_lyssavirus
4aGV	JN234411	NA	1931-XX-XX	Dog	China	1	Rabies_lyssavirus
5559MxChisdog12	KX708502	NA	2012-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
55612	KT336432	NA	2012-XX-XX	Dog	South_Africa	NA	Rabies_lyssavirus
5989/lib205/12	LN879480	NA	2002-XX-XX	Dog	Azerbaijan	NA	Rabies_lyssavirus
86001BRE	KX148216	NA	1986-XX-XX	Dog	Brazil	NA	Rabies_lyssavirus
86003BRE	KX148201	NA	1986-XX-XX	Dog	Nigeria	NA	Rabies_lyssavirus
86031MOZ	KX148203	NA	1986-XX-XX	Dog	Mozambique	NA	Rabies_lyssavirus
86036HAV	KX148234	NA	1986-XX-XX	Dog	Burkina_Faso	NA	Rabies_lyssavirus
86046MAD	KX148211	NA	1986-XX-XX	Dog	Madagascar	NA	Rabies_lyssavirus
86054YOU	KX148145	NA	1986-XX-XX	Wolf	Bosnia_and_Herzegovina	NA	Rabies_lyssavirus
86058YOU	KX148104	NA	1978-XX-XX	Cattle	Montenegro	NA	Rabies_lyssavirus
86081IRA	KX148189	NA	1985-XX-XX	Dog	Iran	NA	Rabies_lyssavirus
86082IRA	KX148159	NA	1974-XX-XX	Sheep	Iran	NA	Rabies_lyssavirus
86083GRO	KX148105	NA	1980-XX-XX	Dog	Greenland	NA	Rabies_lyssavirus
86092EGY	KX148101	NA	1979-XX-XX	Human	Egypt	NA	Rabies_lyssavirus
86097BEN	KX148107	NA	1986-XX-XX	Cat	Benin	NA	Rabies_lyssavirus
86109YOU	KX148140	NA	1986-XX-XX	Fox	Serbia	NA	Rabies_lyssavirus
86111YOU	KX148133	NA	1986-XX-XX	Fox	Bosnia_and_Herzegovina	NA	Rabies_lyssavirus
86117BRE	KX148109	NA	1986-XX-XX	Dog	Brazil	NA	Rabies_lyssavirus
86123BRE	KX148217	NA	1986-XX-XX	Dog	Brazil	NA	Rabies_lyssavirus
86133SER	KX148161	NA	1972-XX-XX	Fox	Serbia	NA	Rabies_lyssavirus
87002IRA	KX148186	NA	1984-XX-XX	Wolf	Iran	NA	Rabies_lyssavirus
87006ARS	KX148168	NA	1987-XX-XX	Fox	Saudi_Arabia	NA	Rabies_lyssavirus
87007ARS	KX148172	NA	1987-XX-XX	Horse	Saudi_Arabia	NA	Rabies_lyssavirus
87021AFS	KX148103	NA	1981-XX-XX	Human	South_Africa	NA	Rabies_lyssavirus
8743THA	EU293121	NA	XXXX-XX-XX	Unknown	Thailand	NA	Rabies_lyssavirus
8764THA	EU293111	NA	1983-XX-XX	Human	Thailand	NA	Rabies_lyssavirus
88003CAM	KX148243	NA	1987-XX-XX	Dog	Cameroon	NA	Rabies_lyssavirus
88008ETH	KX148200	NA	1988-XX-XX	Dog	Ethiopia	NA	Rabies_lyssavirus
89017MAR	KX148194	NA	1989-XX-XX	Dog	Morocco	NA	Rabies_lyssavirus
89V809AFX	KU198460	NA	1989-XX-XX	Fox	USA	NA	Rabies_lyssavirus
90001FRA	KX148268	NA	1990-XX-XX	Dog	French_Guiana	NA	Rabies_lyssavirus
90010NIG	KX148231	NA	1990-XX-XX	Dog	Niger	NA	Rabies_lyssavirus
90012NIG	KX148229	NA	1990-XX-XX	Dog	Niger	NA	Rabies_lyssavirus
90016MAR	KX148196	NA	1990-XX-XX	Dog	Morocco	NA	Rabies_lyssavirus
9001FRA	EU293113	NA	1990-XX-XX	Dog	Guyana	NA	Rabies_lyssavirus
90021TCH	KX148240	NA	1990-XX-XX	Dog	Chad	NA	Rabies_lyssavirus
90024GUI	KX148244	NA	1990-XX-XX	Dog	Guinea	NA	Rabies_lyssavirus
9084MxYucdog08	KX708504	NA	2008-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
90L2968AFX	KU198461	NA	1990-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
90V814AFX	KU198462	NA	1990-XX-XX	Fox	USA	NA	Rabies_lyssavirus
90V820RFX	KU198463	NA	1990-XX-XX	Fox	USA	NA	Rabies_lyssavirus
91001USA	KX148213	NA	1982-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
91004USA	KX148224	NA	1991-XX-XX	Skunk	USA	NA	Rabies_lyssavirus
91005USA	KX148106	NA	1990-XX-XX	Fox	USA	NA	Rabies_lyssavirus
91010MEX	KX148112	NA	1991-XX-XX	Human	Mexico	NA	Rabies_lyssavirus
91014MEX	KX148110	NA	1991-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
91015MEX	KX148111	NA	1991-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
91024EAU	KX148171	NA	1991-XX-XX	Fox	United_Arab_Emirates	NA	Rabies_lyssavirus
91026MEX	KX148102	NA	1991-XX-XX	Dog	Mexico	NA	Rabies_lyssavirus
91034OMA	KX148169	NA	1990-XX-XX	Camel	Oman	NA	Rabies_lyssavirus
91035OMA	KX148170	NA	1990-XX-XX	Fox	Oman	NA	Rabies_lyssavirus
91047FRA	KX148127	NA	1991-XX-XX	Fox	France	NA	Rabies_lyssavirus
9147FRA	EU293115	NA	1991-XX-XX	Fox	France	NA	Rabies_lyssavirus
91L0085AFX	KU198464	NA	1991-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
92001GER	KX148135	NA	1991-XX-XX	Fox	Germany	NA	Rabies_lyssavirus
92002GER	KX148113	NA	1991-XX-XX	Fox	Germany	NA	Rabies_lyssavirus
92010GER	KX148124	NA	1991-XX-XX	Fox	Germany	NA	Rabies_lyssavirus
92012GER	KX148122	NA	1991-XX-XX	Fox	Germany	NA	Rabies_lyssavirus
92015HON	KX148160	NA	1991-XX-XX	Human	Hungary	NA	Rabies_lyssavirus
92017GER	KX148123	NA	1991-XX-XX	Fox	Germany	NA	Rabies_lyssavirus
92029CAR	KX148208	NA	1992-XX-XX	Dog	Central_African_Republic	NA	Rabies_lyssavirus
92030NAM	KX148204	NA	1992-XX-XX	Dog	Namibia	NA	Rabies_lyssavirus
92037CI	KX148232	NA	1992-XX-XX	Dog	Cote_dIvoire	NA	Rabies_lyssavirus
92038CI	KX148233	NA	1992-XX-XX	Dog	Cote_dIvoire	NA	Rabies_lyssavirus
92044FRA	KX148128	NA	1992-XX-XX	Fox	France	NA	Rabies_lyssavirus
92N7894RFX	KU198465	NA	1992-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
93003SEN	KX148238	NA	1991-XX-XX	Dog	Senegal	NA	Rabies_lyssavirus
93005SEN	KX148239	NA	1992-XX-XX	Dog	Senegal	NA	Rabies_lyssavirus
93006SOM	KX148199	NA	1993-XX-XX	Jackal	Somalia	NA	Rabies_lyssavirus
93008IRA	KX148190	NA	1976-XX-XX	Jackal	Iran	NA	Rabies_lyssavirus
93009IRA	KX148188	NA	1991-XX-XX	Wolf	Iran	NA	Rabies_lyssavirus
93011MAU	KX148236	NA	1993-XX-XX	Dog	Mauritania	NA	Rabies_lyssavirus
93012MAU	KX148237	NA	1993-XX-XX	Dog	Mauritania	NA	Rabies_lyssavirus
93019IRA	KX148212	NA	1993-XX-XX	Jackal	Iran	NA	Rabies_lyssavirus
93030ISR	KX148180	NA	1993-XX-XX	Fox	Israel	NA	Rabies_lyssavirus
93031ISR	KX148183	NA	1993-XX-XX	Fox	Israel	NA	Rabies_lyssavirus
93032ISR	KX148191	NA	1993-XX-XX	Jackal	Israel	NA	Rabies_lyssavirus
93033ISR	KX148192	NA	1993-XX-XX	Dog	Israel	NA	Rabies_lyssavirus
93038EST	KX148148	NA	1992-XX-XX	Fox	Estonia	NA	Rabies_lyssavirus
93039EST	KX148149	NA	1991-XX-XX	Raccoon	Estonia	NA	Rabies_lyssavirus
93041EST	KX148155	NA	1993-XX-XX	Fox	Estonia	NA	Rabies_lyssavirus
93042EST	KX148156	NA	1991-XX-XX	Raccoon	Estonia	NA	Rabies_lyssavirus
93043EST	KX148157	NA	1993-XX-XX	Raccoon	Estonia	NA	Rabies_lyssavirus
93046FIN	KX148146	NA	1993-XX-XX	Fox	Finland	NA	Rabies_lyssavirus
93048FIN	KX148147	NA	1988-XX-XX	Raccoon	Finland	NA	Rabies_lyssavirus
93080HON	KX148143	NA	1993-XX-XX	Fox	Hungary	NA	Rabies_lyssavirus
93083HON	KX148136	NA	1993-XX-XX	Fox	Hungary	NA	Rabies_lyssavirus
93089HON	KX148137	NA	1993-XX-XX	Fox	Hungary	NA	Rabies_lyssavirus
93091HON	KX148138	NA	1993-XX-XX	Fox	Hungary	NA	Rabies_lyssavirus
93093HON	KX148139	NA	1993-XX-XX	Fox	Hungary	NA	Rabies_lyssavirus
93100TUR	KX148164	NA	1993-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
93105EST	KX148158	NA	1993-XX-XX	Fox	Estonia	NA	Rabies_lyssavirus
93128SOM	KX148198	NA	1993-XX-XX	Dog	Somalia	NA	Rabies_lyssavirus
93N1395AFX	KU198466	NA	1993-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
94001TUR	KX148166	NA	1993-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
94002TUR	KX148162	NA	1993-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
94005TUR	KX148167	NA	1993-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
94009TUR	KX148165	NA	1993-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
94016TUR	KX148163	NA	1993-XX-XX	Dog	Turkey	NA	Rabies_lyssavirus
94029FRA	KX148134	NA	1994-XX-XX	Fox	France	NA	Rabies_lyssavirus
94033BEL	KX148125	NA	1994-XX-XX	Fox	Belgium	NA	Rabies_lyssavirus
94086SLN	KX148131	NA	1994-XX-XX	Fox	Slovenia	NA	Rabies_lyssavirus
94091SLN	KX148129	NA	1994-XX-XX	Fox	Slovenia	NA	Rabies_lyssavirus
94094SLN	KX148132	NA	1994-XX-XX	Fox	Slovenia	NA	Rabies_lyssavirus
94096SLN	KX148130	NA	1994-XX-XX	Fox	Slovenia	NA	Rabies_lyssavirus
94099SLN	KX148144	NA	1994-XX-XX	Fox	Slovenia	NA	Rabies_lyssavirus
94272PHI	KX148259	NA	1994-XX-XX	Dog	Philippines	NA	Rabies_lyssavirus
94275PHI	KX148263	NA	1994-XX-XX	Dog	Philippines	NA	Rabies_lyssavirus
94278PHI	KX148262	NA	1994-XX-XX	Dog	Philippines	NA	Rabies_lyssavirus
94281PHI	KX148261	NA	1994-XX-XX	Dog	Philippines	NA	Rabies_lyssavirus
94289RWA	KX148205	NA	1994-XX-XX	Dog	Rwanda	NA	Rabies_lyssavirus
95002CAM	KX148242	NA	1994-XX-XX	Dog	Cameroon	NA	Rabies_lyssavirus
95022BRE	KX148215	NA	1995-XX-XX	Dog	Brazil	NA	Rabies_lyssavirus
95023BRE	KX148214	NA	1995-XX-XX	Dog	Brazil	NA	Rabies_lyssavirus
95047HAV	KX148230	NA	1995-XX-XX	Dog	Burkina_Faso	NA	Rabies_lyssavirus
95049GAB	KX148202	NA	1995-XX-XX	Dog	Gabon	NA	Rabies_lyssavirus
96002FRA	KX148126	NA	1996-XX-XX	Fox	France	NA	Rabies_lyssavirus
96009TCH	KX148241	NA	1996-XX-XX	Dog	Chad	NA	Rabies_lyssavirus
96013TAN	KX148206	NA	1996-XX-XX	Dog	Tanzania	NA	Rabies_lyssavirus
96026POL	KX148150	NA	1986-XX-XX	Raccoon	Poland	NA	Rabies_lyssavirus
96042POL	KX148151	NA	1996-XX-XX	Fox	Poland	NA	Rabies_lyssavirus
96045POL	KX148119	NA	1993-XX-XX	Fox	Poland	NA	Rabies_lyssavirus
96056POL	KX148121	NA	1993-XX-XX	Fox	Poland	NA	Rabies_lyssavirus
96077POL	KX148118	NA	1994-XX-XX	Raccoon	Poland	NA	Rabies_lyssavirus
96097POL	KX148153	NA	1996-XX-XX	Raccoon	Poland	NA	Rabies_lyssavirus
96104POL	KX148114	NA	1995-XX-XX	Fox	Poland	NA	Rabies_lyssavirus
96135POL	KX148141	NA	1992-XX-XX	Fox	Poland	NA	Rabies_lyssavirus
96140POL	KX148120	NA	1993-XX-XX	Raccoon	Poland	NA	Rabies_lyssavirus
96142POL	KX148152	NA	1996-XX-XX	Raccoon	Poland	NA	Rabies_lyssavirus
96177POL	KX148142	NA	1994-XX-XX	Fox	Poland	NA	Rabies_lyssavirus
96250POL	KX148115	NA	1996-XX-XX	Fox	Poland	NA	Rabies_lyssavirus
96256POL	KX148116	NA	1996-XX-XX	Fox	Poland	NA	Rabies_lyssavirus
96299IRA	KX148185	NA	1996-XX-XX	Wolf	Iran	NA	Rabies_lyssavirus
96306ISR	KX148178	NA	1996-XX-XX	Dog	Israel	NA	Rabies_lyssavirus
96307ISR	KX148182	NA	1996-XX-XX	Dog	Israel	NA	Rabies_lyssavirus
96312ISR	KX148181	NA	1996-XX-XX	Dog	Israel	NA	Rabies_lyssavirus
96314ISR	KX148179	NA	1996-XX-XX	Jackal	Israel	NA	Rabies_lyssavirus
96317ISR	KX148177	NA	1996-XX-XX	Fox	Israel	NA	Rabies_lyssavirus
96320IRA	KX148187	NA	1996-XX-XX	Jackal	Iran	NA	Rabies_lyssavirus
96324ISR	KX148184	NA	1996-XX-XX	Cattle	Israel	NA	Rabies_lyssavirus
97002IND	KX148246	NA	1997-XX-XX	Human	India	NA	Rabies_lyssavirus
97004ARG	KX148269	NA	1997-XX-XX	Bat	Argentina	NA	Rabies_lyssavirus
97046POL	KX148117	NA	1997-XX-XX	Fox	Poland	NA	Rabies_lyssavirus
9704ARG	EU293116	NA	1997-XX-XX	Bat	Argentina	NA	Rabies_lyssavirus
97078POL	KX148154	NA	1997-XX-XX	Raccoon	Poland	NA	Rabies_lyssavirus
97139ARS	KX148173	NA	1997-XX-XX	Fox	Saudi_Arabia	NA	Rabies_lyssavirus
97L1793AFX	KU198467	NA	1997-XX-XX	Fox	Canada	NA	Rabies_lyssavirus
98001ARS	KX148174	NA	1998-XX-XX	Fox	Saudi_Arabia	NA	Rabies_lyssavirus
98002MAD	KX148210	NA	1998-XX-XX	Human	Madagascar	NA	Rabies_lyssavirus
98011CHI	KX148265	NA	1998-XX-XX	Dog	China	NA	Rabies_lyssavirus
99001NEP	KX148228	NA	1998-XX-XX	Dog	Nepal	NA	Rabies_lyssavirus
99004ARS	KX148175	NA	1998-XX-XX	Fox	Saudi_Arabia	NA	Rabies_lyssavirus
99008CBG	KX148252	NA	1999-XX-XX	Dog	Cambodia	NA	Rabies_lyssavirus
